email,store,amount
aliston0@people.com.cn,Skyba,69
csentinella1@cnet.com,Pixoboo,88
fmerigon2@purevolume.com,Jetwire,43
nbrisson3@shareasale.com,Twitterbeat,18
thatrey4@paginegialle.it,Thoughtbridge,79
qlavarack5@ibm.com,Meemm,55
tpride6@howstuffworks.com,Brainbox,72
jarmell7@hubpages.com,Dabtype,48
astowte8@tumblr.com,Voomm,53
cschimank9@devhub.com,Realcube,89
avyela@webmd.com,Bluejam,21
jbengtsenb@marriott.com,Tazz,70
vfranklingc@cpanel.net,Talane,39
ifarmard@rakuten.co.jp,Nlounge,6
ncastellettoe@yolasite.com,Brainlounge,10
mkupperf@a8.net,Podcat,95
sdearlg@fc2.com,Livetube,60
guzellih@hhs.gov,Gabspot,93
cweblingi@scribd.com,Eimbee,32
usibunj@bing.com,Mybuzz,67
gpackwoodk@apache.org,Livepath,89
hvaissierel@fda.gov,Jaxspan,24
jferronetm@merriam-webster.com,Tazz,94
orowlettn@pbs.org,Yoveo,10
ccrazeo@a8.net,Zoonder,74
asouthallp@dailymail.co.uk,Livepath,75
icubberleyq@imageshack.us,Tagopia,93
eryvesr@nytimes.com,Aibox,19
htillss@state.gov,Babblestorm,60
egravyt@weibo.com,Dabtype,36
ghammertonu@google.es,Edgeify,69
vrawlev@4shared.com,Youspan,88
llabaw@abc.net.au,Meezzy,55
vstandingx@seattletimes.com,Oyope,65
mratleyy@archive.org,Kanoodle,37
pmoralesz@flickr.com,Photojam,93
palphege10@biblegateway.com,Gabtype,41
glafuente11@weather.com,Flipstorm,35
wgerrans12@e-recht24.de,Wikido,4
mbeauly13@webnode.com,Yozio,30
mmcnalley14@csmonitor.com,Thoughtstorm,28
wburnel15@salon.com,Trudeo,48
bfransseni16@ebay.co.uk,Youtags,6
dredgrove17@ted.com,Flipopia,62
lgulleford18@ebay.co.uk,Skynoodle,21
skunze19@si.edu,Quinu,58
kmayoh1a@chronoengine.com,Fivechat,19
rfrancino1b@freewebs.com,Fiveclub,61
hklimshuk1c@canalblog.com,Divanoodle,46
skeepe1d@businessweek.com,Meejo,77
lcrocombe1e@loc.gov,Yodoo,71
mfielder1f@japanpost.jp,Ntag,26
tyoxall1g@imdb.com,Twimm,2
vcourtois1h@jalbum.net,Oyondu,55
ebortoletti1i@typepad.com,Twitterbridge,34
froggero1j@hubpages.com,Trilith,11
mfarington1k@bloglovin.com,Demimbu,2
kdomenicone1l@shareasale.com,Aivee,47
lcuschieri1m@booking.com,Buzzdog,61
afarans1n@sciencedirect.com,Twimbo,65
ftutchell1o@mashable.com,Eayo,75
mwyllcock1p@umn.edu,Twiyo,12
serrichi1q@marketwatch.com,Muxo,62
ggibbs1r@mtv.com,Katz,80
pdoumic1s@yahoo.co.jp,Skiba,58
vjoyce1t@opera.com,Trilith,100
kmcguffie1u@gmpg.org,Leexo,36
dkubach1v@freewebs.com,Divape,76
cmacginlay1w@buzzfeed.com,Eidel,21
jcatterill1x@netlog.com,Jazzy,78
aprestidge1y@mysql.com,Quatz,68
csodo1z@goo.gl,Centidel,10
vdyett20@google.com.hk,Devcast,68
jciccarelli21@usda.gov,Feedmix,31
dcrothers22@hibu.com,Skaboo,19
msprull23@alibaba.com,Demimbu,89
rdonaho24@google.fr,Trunyx,87
pleneham25@cargocollective.com,Trilia,76
jkorneev26@miitbeian.gov.cn,Youspan,99
ddrury27@tamu.edu,Zooveo,68
rdassindale28@printfriendly.com,Topiclounge,22
storricina29@technorati.com,Mita,26
scornil2a@livejournal.com,Vidoo,11
kbumphrey2b@reuters.com,Latz,69
ekohrding2c@deliciousdays.com,Muxo,63
gkupke2d@acquirethisname.com,Fivebridge,57
toutram2e@virginia.edu,Skipfire,81
dridges2f@google.com,Vimbo,98
nlundon2g@ezinearticles.com,Meetz,69
nrosenwald2h@sina.com.cn,Gigazoom,69
agrieves2i@addtoany.com,Einti,80
smurtimer2j@zimbio.com,Fadeo,33
bandriveau2k@nationalgeographic.com,Tagfeed,51
gwestoff2l@cocolog-nifty.com,Oodoo,1
vdelaharpe2m@amazon.com,Skyble,58
cjackalin2n@ox.ac.uk,Vinder,62
zdemerida2o@yahoo.co.jp,Browsebug,84
swillock2p@buzzfeed.com,Topdrive,36
pberth2q@sfgate.com,Quimba,32
ishouler2r@nydailynews.com,Twitterwire,53
